Age	Type	City	Price Range	Capacity	Area	Number of Menu Items	Profit
Well-Known	Full Service Restaurant	Los Angeles	$$	50-70	Downtown	Salad & Sandwich only	63856
Recent	Full Service Restaurant	San Diego	$$$	No seat	Downtown	10-15	95595
Recent	Banquet	Los Angeles	$$$	20-30	Downtown	10-15	106710
Developed	Banquet	San Diego	$$$$	15-20	Suburbs	10-15	93311
Recent	Banquet	Los Angeles	$$$$	15-20	Suburbs	15+	75962
Recent	Full Service Restaurant	San Diego	$$$$	15-20	Suburbs	7-10	94859
Well-Known	Cafeteria	San Francisco	$$	No seat	Downtown	< 5	34953
Recent	Cafeteria	San Francisco	$$	100+	Suburbs	7-10	54152
Developed	Banquet	Los Angeles	$$$$$	30-50	Suburbs	15+	125777
Developed	Full Service Restaurant	Sacramento	$$$	10-15	Suburbs	Salad bar only	82448
Developed	Full Service Restaurant	Sacramento	$$	20-30	Downtown	Salad & Sandwich only	78616
Developed	Full Service Restaurant	San Diego	$	100+	Downtown	10-15	105999
Developed	Full Service Restaurant	San Diego	$	No seat	Downtown	5-7	68258
Developed	Banquet	Los Angeles	$$$$$	No seat	Downtown	< 5	83217
Well-Known	Cafeteria	Los Angeles	$$$	50-70	Suburbs	7-10	77526
Developed	Banquet	Los Angeles	$	20-30	Downtown	10-15	78245
Well-Known	Banquet	San Francisco	$$$	30-50	Downtown	Salad bar only	65362
Well-Known	Banquet	San Francisco	$$$	50-70	Downtown	Salad bar only	69648
Recent	Full Service Restaurant	San Diego	$$	100+	Suburbs	7-10	95262
Recent	Cafeteria	Sacramento	$$	100+	Suburbs	< 5	48552
Recent	Banquet	San Francisco	$$$	10-15	Downtown	10-15	102942
Recent	Cafeteria	Sacramento	$$$$$	50-70	Suburbs	7-10	69046
Developed	Banquet	San Diego	$$$	10-15	Downtown	15+	93017
Developed	Banquet	San Francisco	$$$$	90-100	Suburbs	7-10	86229
Developed	Full Service Restaurant	San Francisco	$	50-70	Suburbs	Salad bar only	56954
Well-Known	Cafeteria	Los Angeles	$	No seat	Suburbs	Salad & Sandwich only	35613
Well-Known	Banquet	Los Angeles	$	15-20	Downtown	Salad bar only	43832
Well-Known	Cafeteria	San Francisco	$	15-20	Downtown	< 5	65319
Recent	Full Service Restaurant	Sacramento	$	100+	Suburbs	7-10	89102
Well-Known	Banquet	San Francisco	$$$	20-30	Suburbs	15+	101549
Recent	Cafeteria	San Francisco	$$$$$	90-100	Downtown	7-10	89425
Recent	Full Service Restaurant	San Diego	$$$	90-100	Suburbs	Salad bar only	62929
Recent	Full Service Restaurant	Sacramento	$$	30-50	Suburbs	Salad & Sandwich only	72613
Well-Known	Banquet	Sacramento	$	<10	Suburbs	Salad bar only	55264
Recent	Full Service Restaurant	Los Angeles	$$$$	No seat	Suburbs	5-7	72729
Recent	Full Service Restaurant	San Francisco	$$$	100+	Downtown	7-10	123991
Recent	Banquet	San Diego	$$	10-15	Downtown	5-7	99032
Developed	Cafeteria	Sacramento	$$	50-70	Suburbs	10-15	98586
Recent	Cafeteria	Los Angeles	$$$$	70-90	Downtown	Salad & Sandwich only	63380
Well-Known	Cafeteria	Los Angeles	$	50-70	Downtown	Salad & Sandwich only	24099
Well-Known	Banquet	Los Angeles	$$$$$	50-70	Suburbs	Salad & Sandwich only	105464
Developed	Banquet	San Diego	$$$	15-20	Suburbs	< 5	81173
Recent	Banquet	Los Angeles	$$$$	No seat	Downtown	10-15	81568
Developed	Banquet	Los Angeles	$	10-15	Suburbs	15+	60863
Recent	Full Service Restaurant	Sacramento	$$$$	<10	Suburbs	5-7	84107
Developed	Full Service Restaurant	San Francisco	$$$	70-90	Downtown	< 5	119856
Well-Known	Full Service Restaurant	Los Angeles	$$	No seat	Suburbs	7-10	67865
Recent	Cafeteria	San Diego	$$$	15-20	Suburbs	7-10	67027
Well-Known	Cafeteria	San Francisco	$$$	<10	Suburbs	< 5	66635
Recent	Cafeteria	Los Angeles	$$$$	<10	Downtown	7-10	60459
Recent	Full Service Restaurant	San Francisco	$$$	20-30	Downtown	5-7	125550
Recent	Banquet	San Francisco	$$$$$	20-30	Downtown	5-7	101646
Developed	Banquet	San Francisco	$	90-100	Downtown	Salad & Sandwich only	48732
Recent	Full Service Restaurant	San Diego	$$$$	20-30	Downtown	Salad bar only	92862
Recent	Full Service Restaurant	Los Angeles	$$$$	10-15	Suburbs	10-15	74676
Recent	Cafeteria	San Francisco	$$$$	100+	Downtown	5-7	85846
Developed	Cafeteria	Sacramento	$$$	No seat	Downtown	Salad & Sandwich only	64965
Developed	Cafeteria	Los Angeles	$$$	15-20	Downtown	15+	89158
Developed	Cafeteria	San Francisco	$$	No seat	Downtown	< 5	35017
Developed	Full Service Restaurant	Sacramento	$	10-15	Downtown	Salad & Sandwich only	60063
Developed	Cafeteria	Sacramento	$	15-20	Suburbs	5-7	71546
Well-Known	Banquet	San Francisco	$$$$$	<10	Downtown	5-7	125396
Developed	Banquet	San Diego	$$$$$	15-20	Suburbs	5-7	107266
Developed	Full Service Restaurant	San Diego	$	10-15	Suburbs	5-7	94243
Developed	Cafeteria	Sacramento	$$$$	100+	Downtown	10-15	111946
Well-Known	Cafeteria	San Diego	$$$$	90-100	Suburbs	5-7	86330
Developed	Banquet	Los Angeles	$	100+	Downtown	Salad bar only	45368
Developed	Banquet	Sacramento	$$$	10-15	Suburbs	< 5	90871
Well-Known	Banquet	San Francisco	$$	<10	Downtown	10-15	60999
Well-Known	Banquet	San Diego	$	100+	Downtown	15+	95172
Developed	Banquet	San Diego	$$$$	100+	Downtown	< 5	100455
Well-Known	Full Service Restaurant	San Francisco	$$$$$	90-100	Downtown	Salad bar only	120819
Recent	Full Service Restaurant	San Francisco	$$$	100+	Downtown	15+	138434
Well-Known	Banquet	Los Angeles	$$	90-100	Downtown	< 5	70095
Recent	Banquet	San Diego	$$$$	70-90	Downtown	Salad & Sandwich only	88200
Developed	Cafeteria	San Francisco	$$$$	70-90	Suburbs	5-7	62862
Developed	Full Service Restaurant	San Diego	$$	30-50	Downtown	10-15	119192
Well-Known	Cafeteria	Los Angeles	$$$$$	70-90	Suburbs	7-10	113293
Recent	Full Service Restaurant	San Francisco	$$$$	<10	Suburbs	10-15	66149
Developed	Banquet	Sacramento	$$$	15-20	Suburbs	Salad & Sandwich only	65306
Developed	Full Service Restaurant	Sacramento	$$$	<10	Suburbs	7-10	92961
Recent	Cafeteria	San Francisco	$$$$	<10	Downtown	< 5	76963
Well-Known	Cafeteria	San Francisco	$$$$	<10	Suburbs	10-15	81843
Well-Known	Cafeteria	San Diego	$$$	100+	Suburbs	Salad & Sandwich only	59003
Developed	Cafeteria	Los Angeles	$	<10	Downtown	7-10	30307
Well-Known	Cafeteria	Sacramento	$$	No seat	Downtown	7-10	39328
Well-Known	Full Service Restaurant	San Francisco	$$$$$	70-90	Suburbs	7-10	141204
Developed	Cafeteria	San Diego	$$$$	70-90	Suburbs	5-7	64349
Developed	Banquet	San Francisco	$	<10	Suburbs	< 5	50674
Recent	Cafeteria	Los Angeles	$$$	<10	Downtown	< 5	59889
Developed	Banquet	Sacramento	$	15-20	Suburbs	15+	77159
Recent	Cafeteria	Los Angeles	$$$$	100+	Suburbs	Salad bar only	32229
Recent	Full Service Restaurant	San Diego	$$$$	20-30	Downtown	< 5	116762
Well-Known	Cafeteria	Sacramento	$$$	10-15	Suburbs	7-10	76686
Developed	Cafeteria	Sacramento	$$	100+	Downtown	10-15	88626
Well-Known	Full Service Restaurant	San Francisco	$$	90-100	Downtown	Salad & Sandwich only	76512
Recent	Full Service Restaurant	Sacramento	$	No seat	Suburbs	Salad & Sandwich only	80425
Recent	Banquet	San Diego	$$$$$	No seat	Suburbs	15+	50829
Recent	Full Service Restaurant	Los Angeles	$$	20-30	Suburbs	Salad bar only	78551
Developed	Banquet	San Francisco	$$$$$	90-100	Suburbs	15+	111445
Recent	Full Service Restaurant	San Diego	$$	100+	Suburbs	7-10	81062
Developed	Full Service Restaurant	Sacramento	$$	90-100	Suburbs	7-10	97629
Well-Known	Full Service Restaurant	Sacramento	$	<10	Suburbs	10-15	73240
Well-Known	Cafeteria	San Francisco	$$$	No seat	Downtown	5-7	54081
Well-Known	Banquet	San Diego	$$$$	50-70	Downtown	5-7	108854
Recent	Full Service Restaurant	San Francisco	$$	70-90	Suburbs	< 5	82070
Recent	Full Service Restaurant	San Diego	$$$$	30-50	Suburbs	5-7	81741
Well-Known	Full Service Restaurant	Sacramento	$$$$	90-100	Downtown	10-15	141723
Well-Known	Banquet	San Diego	$$$	15-20	Suburbs	< 5	92987
Developed	Cafeteria	Sacramento	$$$$	50-70	Suburbs	5-7	69307
Recent	Full Service Restaurant	Los Angeles	$	<10	Suburbs	5-7	81100
Well-Known	Cafeteria	San Diego	$$$$$	100+	Downtown	15+	134968
Developed	Full Service Restaurant	Sacramento	$	10-15	Suburbs	Salad bar only	66558
Developed	Cafeteria	Sacramento	$$$$$	15-20	Downtown	Salad & Sandwich only	83933
Well-Known	Full Service Restaurant	Sacramento	$$	No seat	Downtown	Salad & Sandwich only	68112
Well-Known	Cafeteria	Sacramento	$$$	15-20	Suburbs	5-7	98728
Recent	Full Service Restaurant	Sacramento	$$$$	70-90	Downtown	5-7	114338
Well-Known	Full Service Restaurant	San Francisco	$$	<10	Suburbs	Salad & Sandwich only	91944
Developed	Full Service Restaurant	San Diego	$$$	90-100	Suburbs	5-7	100137
Recent	Cafeteria	Sacramento	$$$	50-70	Suburbs	10-15	97709
Developed	Full Service Restaurant	San Diego	$$$	100+	Suburbs	Salad bar only	78123
Well-Known	Banquet	Los Angeles	$$$$$	70-90	Suburbs	Salad bar only	90329
Well-Known	Cafeteria	San Diego	$$$$$	100+	Downtown	Salad & Sandwich only	99055
Well-Known	Banquet	Los Angeles	$$$$	30-50	Suburbs	10-15	150121
Developed	Banquet	Los Angeles	$$$	90-100	Downtown	< 5	85599
Well-Known	Banquet	Los Angeles	$	20-30	Downtown	Salad bar only	48910
Developed	Banquet	San Francisco	$$$$	50-70	Suburbs	Salad bar only	72101
Well-Known	Cafeteria	Sacramento	$	100+	Suburbs	Salad & Sandwich only	41965
Recent	Cafeteria	San Francisco	$$	30-50	Suburbs	10-15	82776
Developed	Cafeteria	San Francisco	$$$$$	100+	Suburbs	Salad bar only	52866
Well-Known	Cafeteria	San Diego	$$$$$	15-20	Downtown	10-15	107148
Recent	Banquet	San Francisco	$$$	50-70	Suburbs	15+	120744
Developed	Cafeteria	San Francisco	$$$$$	20-30	Downtown	< 5	106745
Well-Known	Banquet	San Diego	$$$$	20-30	Downtown	15+	122090
Recent	Full Service Restaurant	San Diego	$$	10-15	Downtown	Salad bar only	73745
Well-Known	Banquet	Sacramento	$	100+	Downtown	15+	90198
Recent	Banquet	Sacramento	$$$	30-50	Suburbs	5-7	67860
Recent	Cafeteria	San Diego	$	30-50	Downtown	Salad & Sandwich only	45447
Developed	Banquet	Sacramento	$$$	20-30	Downtown	10-15	107660
Developed	Banquet	San Francisco	$$	<10	Suburbs	7-10	78408
Well-Known	Banquet	San Diego	$$$$$	100+	Downtown	Salad & Sandwich only	109195
Well-Known	Cafeteria	Los Angeles	$$$$$	10-15	Downtown	5-7	126830
Developed	Full Service Restaurant	San Francisco	$$$$$	20-30	Suburbs	7-10	115658
Recent	Full Service Restaurant	San Diego	$$$	20-30	Downtown	15+	125024
Well-Known	Full Service Restaurant	San Francisco	$$$	<10	Suburbs	10-15	85854
Developed	Full Service Restaurant	Los Angeles	$	20-30	Downtown	Salad bar only	73274
Recent	Cafeteria	San Francisco	$$$$$	70-90	Suburbs	Salad bar only	34836
Developed	Banquet	Los Angeles	$$$$	50-70	Downtown	5-7	111576
Developed	Banquet	Sacramento	$$	90-100	Downtown	7-10	75956
Developed	Banquet	Sacramento	$$$$$	30-50	Suburbs	15+	122418
Developed	Banquet	San Diego	$	20-30	Downtown	Salad & Sandwich only	50831
Well-Known	Cafeteria	San Diego	$$$$$	10-15	Downtown	Salad bar only	102658
Recent	Full Service Restaurant	San Francisco	$$$	50-70	Suburbs	7-10	105845
Developed	Cafeteria	San Diego	$	15-20	Downtown	7-10	71736
Recent	Full Service Restaurant	San Francisco	$$$$$	10-15	Suburbs	Salad bar only	69593
Developed	Cafeteria	San Francisco	$$$$	90-100	Suburbs	7-10	72619
Developed	Cafeteria	Los Angeles	$$	100+	Downtown	Salad & Sandwich only	38900
Well-Known	Full Service Restaurant	San Diego	$$$$	90-100	Suburbs	Salad bar only	106482
Well-Known	Banquet	Sacramento	$$	15-20	Downtown	10-15	69880
Developed	Banquet	Los Angeles	$$$	30-50	Suburbs	7-10	100879
Developed	Full Service Restaurant	San Diego	$$	50-70	Downtown	5-7	88686
Well-Known	Banquet	Sacramento	$$$$	15-20	Downtown	7-10	116595
Recent	Banquet	San Francisco	$$$$$	70-90	Suburbs	5-7	66118
Developed	Full Service Restaurant	Los Angeles	$$	20-30	Suburbs	< 5	113346
Recent	Cafeteria	Sacramento	$$$	90-100	Suburbs	Salad bar only	34940
Recent	Full Service Restaurant	Los Angeles	$$$	10-15	Downtown	< 5	111662
Well-Known	Full Service Restaurant	San Diego	$$	50-70	Downtown	Salad bar only	77050
Recent	Banquet	San Diego	$$$$	20-30	Suburbs	Salad & Sandwich only	68746
Developed	Full Service Restaurant	San Diego	$$$$$	15-20	Suburbs	10-15	98587
Recent	Banquet	San Francisco	$$$$	30-50	Downtown	5-7	107330
Developed	Cafeteria	San Diego	$$$$	<10	Suburbs	10-15	60816
Developed	Cafeteria	Sacramento	$$$$$	50-70	Suburbs	5-7	70322
Developed	Full Service Restaurant	San Diego	$$	20-30	Suburbs	5-7	112213
Well-Known	Full Service Restaurant	Sacramento	$$$$	20-30	Suburbs	Salad bar only	115713
Developed	Full Service Restaurant	Sacramento	$$$$$	70-90	Suburbs	Salad bar only	79104
Developed	Cafeteria	Los Angeles	$	No seat	Suburbs	Salad bar only	31551
Recent	Full Service Restaurant	Sacramento	$	20-30	Downtown	10-15	87106
Well-Known	Cafeteria	Sacramento	$$	No seat	Downtown	5-7	29689
Developed	Banquet	San Diego	$$$$$	<10	Suburbs	7-10	74034
Recent	Full Service Restaurant	Sacramento	$$$	70-90	Suburbs	10-15	115673
Well-Known	Full Service Restaurant	Sacramento	$$$	10-15	Suburbs	15+	113160
Recent	Cafeteria	Sacramento	$$$	30-50	Suburbs	Salad bar only	40074
Developed	Cafeteria	Los Angeles	$	70-90	Downtown	Salad & Sandwich only	36204
Well-Known	Cafeteria	Sacramento	$$$$$	100+	Downtown	Salad & Sandwich only	88859
Well-Known	Banquet	San Francisco	$$$	<10	Suburbs	Salad bar only	88144
Well-Known	Cafeteria	Sacramento	$	No seat	Downtown	10-15	21297
Developed	Cafeteria	San Diego	$$$	<10	Suburbs	10-15	57623
Well-Known	Full Service Restaurant	Sacramento	$	90-100	Suburbs	10-15	109875
Recent	Banquet	Sacramento	$$	50-70	Downtown	7-10	93321
Well-Known	Cafeteria	San Diego	$	<10	Suburbs	5-7	40007
Recent	Banquet	San Diego	$$$$$	20-30	Downtown	15+	112427
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	100+	Suburbs	15+	168985
Well-Known	Full Service Restaurant	San Francisco	$$$	50-70	Downtown	5-7	104558
Recent	Banquet	Sacramento	$	30-50	Downtown	Salad & Sandwich only	42922
Recent	Cafeteria	Los Angeles	$$$	15-20	Suburbs	5-7	71039
Recent	Full Service Restaurant	San Francisco	$$$$	15-20	Suburbs	< 5	86919
Well-Known	Cafeteria	San Diego	$	70-90	Suburbs	Salad bar only	37433
Well-Known	Cafeteria	San Francisco	$$$	20-30	Suburbs	5-7	96641
Well-Known	Full Service Restaurant	San Francisco	$$	70-90	Suburbs	10-15	116026
Recent	Full Service Restaurant	Sacramento	$$	20-30	Suburbs	7-10	112492
Well-Known	Cafeteria	Sacramento	$$	<10	Suburbs	15+	44336
Recent	Banquet	Los Angeles	$	10-15	Downtown	15+	73126
Well-Known	Banquet	Sacramento	$$$$$	90-100	Suburbs	Salad bar only	90197
Developed	Full Service Restaurant	San Diego	$$	100+	Downtown	Salad & Sandwich only	83525
Developed	Full Service Restaurant	San Francisco	$	10-15	Suburbs	5-7	84493
Well-Known	Cafeteria	Los Angeles	$$$	100+	Downtown	7-10	66803
Recent	Full Service Restaurant	San Diego	$$	<10	Suburbs	< 5	74375
Developed	Banquet	San Francisco	$$$$	100+	Downtown	Salad bar only	80072
Recent	Full Service Restaurant	San Francisco	$$	70-90	Suburbs	7-10	93286
Recent	Full Service Restaurant	San Diego	$$$	100+	Suburbs	Salad & Sandwich only	70064
Developed	Banquet	Sacramento	$$$$	90-100	Suburbs	Salad bar only	61023
Recent	Banquet	San Diego	$$$	No seat	Downtown	5-7	70610
Recent	Banquet	Sacramento	$$$$	90-100	Suburbs	10-15	93709
Well-Known	Full Service Restaurant	Sacramento	$$	20-30	Downtown	Salad & Sandwich only	69709
Developed	Full Service Restaurant	San Diego	$$	10-15	Downtown	7-10	93667
Recent	Full Service Restaurant	San Diego	$$$$$	50-70	Suburbs	7-10	98320
Well-Known	Full Service Restaurant	San Francisco	$$$	30-50	Suburbs	10-15	146015
Recent	Banquet	San Diego	$$	30-50	Suburbs	< 5	64590
Developed	Full Service Restaurant	San Diego	$	90-100	Suburbs	15+	114036
Recent	Banquet	San Francisco	$$$	50-70	Downtown	10-15	126348
Recent	Banquet	San Diego	$	<10	Suburbs	7-10	67185
Well-Known	Cafeteria	San Diego	$$$$	<10	Downtown	10-15	76889
Well-Known	Cafeteria	Sacramento	$$$$$	10-15	Suburbs	10-15	107174
Recent	Cafeteria	San Diego	$$$	100+	Suburbs	Salad bar only	34918
Recent	Full Service Restaurant	San Diego	$	<10	Downtown	Salad bar only	75917
Developed	Banquet	San Francisco	$$$$$	15-20	Downtown	Salad bar only	96468
Recent	Banquet	San Diego	$	10-15	Suburbs	Salad & Sandwich only	58686
Well-Known	Banquet	San Francisco	$$	100+	Downtown	15+	107209
Developed	Banquet	Los Angeles	$$$$	50-70	Suburbs	7-10	94325
Recent	Cafeteria	San Diego	$	90-100	Suburbs	7-10	63968
Developed	Cafeteria	San Diego	$	50-70	Downtown	10-15	90988
Recent	Banquet	Sacramento	$$$	20-30	Suburbs	< 5	69098
Developed	Full Service Restaurant	San Francisco	$$$	No seat	Downtown	10-15	94258
Well-Known	Full Service Restaurant	Sacramento	$$	100+	Downtown	5-7	81315
Recent	Full Service Restaurant	Los Angeles	$$$$$	70-90	Suburbs	Salad & Sandwich only	77068
Well-Known	Full Service Restaurant	San Francisco	$$$	100+	Suburbs	15+	129299
Recent	Banquet	Los Angeles	$$$$$	70-90	Downtown	Salad & Sandwich only	71589
Well-Known	Banquet	Los Angeles	$$	100+	Downtown	15+	109239
Developed	Full Service Restaurant	San Diego	$$$$$	90-100	Downtown	10-15	140725
Recent	Full Service Restaurant	San Francisco	$	10-15	Downtown	Salad & Sandwich only	61945
Recent	Full Service Restaurant	San Diego	$	15-20	Downtown	Salad & Sandwich only	68088
Well-Known	Cafeteria	Los Angeles	$$$$$	20-30	Suburbs	7-10	136237
Well-Known	Full Service Restaurant	Los Angeles	$$$	90-100	Suburbs	< 5	90421
Well-Known	Cafeteria	San Diego	$	No seat	Suburbs	Salad & Sandwich only	30257
Recent	Full Service Restaurant	Sacramento	$$$$$	100+	Downtown	10-15	133049
Recent	Full Service Restaurant	San Diego	$$$$	100+	Downtown	Salad bar only	93977
Recent	Full Service Restaurant	San Francisco	$	15-20	Suburbs	Salad bar only	73678
Well-Known	Cafeteria	Sacramento	$$	90-100	Downtown	Salad bar only	40269
Developed	Banquet	Los Angeles	$$$$$	15-20	Downtown	5-7	122773
Developed	Full Service Restaurant	Los Angeles	$$$	No seat	Downtown	15+	104595
Recent	Full Service Restaurant	Los Angeles	$	70-90	Downtown	15+	131163
Well-Known	Cafeteria	San Diego	$$	<10	Downtown	10-15	46804
Developed	Cafeteria	San Francisco	$$$	90-100	Suburbs	Salad & Sandwich only	43019
Developed	Full Service Restaurant	San Diego	$$$	10-15	Downtown	Salad & Sandwich only	98987
Developed	Full Service Restaurant	San Francisco	$$$$$	30-50	Suburbs	15+	141144
Well-Known	Cafeteria	Sacramento	$$$$$	20-30	Suburbs	10-15	120997
Recent	Cafeteria	San Francisco	$$$	<10	Suburbs	Salad bar only	42027
Well-Known	Cafeteria	San Diego	$$$$	<10	Suburbs	< 5	78257
Recent	Banquet	San Diego	$	No seat	Suburbs	Salad & Sandwich only	56372
Recent	Banquet	Los Angeles	$$$$$	No seat	Suburbs	< 5	44484
Developed	Full Service Restaurant	San Diego	$$$	No seat	Downtown	5-7	95835
Recent	Full Service Restaurant	San Francisco	$$	10-15	Suburbs	< 5	96481
Developed	Full Service Restaurant	Sacramento	$$$$$	100+	Suburbs	15+	123980
Well-Known	Cafeteria	San Diego	$$$$$	30-50	Downtown	< 5	113246
Recent	Banquet	San Diego	$$$$	100+	Downtown	Salad bar only	75777
Recent	Full Service Restaurant	San Francisco	$$	No seat	Downtown	7-10	90302
Developed	Cafeteria	San Diego	$	10-15	Downtown	< 5	50046
Developed	Cafeteria	Sacramento	$$$	10-15	Suburbs	10-15	65902
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	70-90	Suburbs	Salad bar only	119418
Developed	Cafeteria	Los Angeles	$$	No seat	Downtown	Salad bar only	51721
Recent	Banquet	San Diego	$	10-15	Downtown	15+	57964
Developed	Cafeteria	San Francisco	$	15-20	Downtown	5-7	59958
Developed	Banquet	Los Angeles	$$$	100+	Suburbs	7-10	79807
Recent	Full Service Restaurant	Sacramento	$	15-20	Suburbs	Salad & Sandwich only	86709
Well-Known	Cafeteria	San Diego	$$$$	15-20	Suburbs	7-10	105860
Recent	Full Service Restaurant	Sacramento	$$$	20-30	Suburbs	7-10	117675
Recent	Banquet	San Francisco	$$$$	100+	Downtown	< 5	81245
Recent	Cafeteria	San Diego	$	90-100	Downtown	Salad bar only	33190
Well-Known	Banquet	San Diego	$$$	90-100	Downtown	10-15	114390
Developed	Cafeteria	San Diego	$$$	50-70	Downtown	15+	135233
Developed	Banquet	San Diego	$$	90-100	Suburbs	Salad & Sandwich only	70158
Well-Known	Cafeteria	Sacramento	$$$	20-30	Downtown	Salad bar only	62065
Well-Known	Cafeteria	Sacramento	$$$$	30-50	Downtown	15+	116700
Well-Known	Cafeteria	San Francisco	$$$$$	<10	Downtown	Salad & Sandwich only	109162
Well-Known	Cafeteria	Los Angeles	$$$	20-30	Downtown	10-15	80914
Recent	Full Service Restaurant	Sacramento	$$$$$	<10	Suburbs	7-10	76224
Developed	Full Service Restaurant	San Francisco	$$$	15-20	Downtown	15+	109605
Recent	Banquet	San Diego	$$$$	90-100	Downtown	5-7	95918
Recent	Full Service Restaurant	Los Angeles	$	15-20	Suburbs	Salad bar only	72676
Recent	Full Service Restaurant	Sacramento	$$$	30-50	Suburbs	Salad & Sandwich only	64102
Recent	Full Service Restaurant	Los Angeles	$$$$$	10-15	Downtown	5-7	126938
Developed	Full Service Restaurant	San Francisco	$$$$$	70-90	Downtown	10-15	160150
Well-Known	Full Service Restaurant	Sacramento	$$	100+	Suburbs	< 5	85974
Well-Known	Full Service Restaurant	Sacramento	$$$	<10	Suburbs	Salad bar only	89291
Recent	Full Service Restaurant	Sacramento	$$$$$	90-100	Suburbs	Salad & Sandwich only	65431
Developed	Full Service Restaurant	San Diego	$$$$$	10-15	Downtown	10-15	122744
Developed	Full Service Restaurant	Los Angeles	$$$$$	90-100	Downtown	Salad bar only	95198
Developed	Full Service Restaurant	Los Angeles	$$	<10	Downtown	Salad & Sandwich only	96225
Well-Known	Full Service Restaurant	San Diego	$	10-15	Suburbs	7-10	95965
Recent	Banquet	Sacramento	$$	50-70	Downtown	Salad bar only	67361
Developed	Cafeteria	Los Angeles	$$$$	20-30	Suburbs	5-7	78807
Recent	Cafeteria	Los Angeles	$$	10-15	Downtown	10-15	61770
Recent	Full Service Restaurant	San Francisco	$$$	20-30	Suburbs	Salad & Sandwich only	76707
Well-Known	Full Service Restaurant	Sacramento	$$	20-30	Downtown	15+	106977
Developed	Cafeteria	San Francisco	$$$$$	30-50	Downtown	Salad bar only	71274
Developed	Full Service Restaurant	San Francisco	$$	90-100	Suburbs	< 5	101248
Well-Known	Banquet	San Diego	$	10-15	Downtown	5-7	62154
Recent	Full Service Restaurant	San Francisco	$$	90-100	Suburbs	Salad & Sandwich only	67034
Developed	Cafeteria	Los Angeles	$$$$$	30-50	Downtown	15+	128962
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	10-15	Suburbs	7-10	146532
Developed	Cafeteria	San Francisco	$$	90-100	Downtown	Salad bar only	33243
Developed	Full Service Restaurant	San Francisco	$$$$$	<10	Suburbs	7-10	77854
Recent	Banquet	Sacramento	$	50-70	Downtown	Salad bar only	45017
Well-Known	Cafeteria	San Diego	$	50-70	Downtown	10-15	93908
Recent	Cafeteria	Sacramento	$$$	No seat	Downtown	5-7	57009
Well-Known	Full Service Restaurant	San Diego	$$	90-100	Downtown	10-15	107929
Recent	Cafeteria	Sacramento	$	70-90	Suburbs	Salad & Sandwich only	52139
Developed	Cafeteria	San Francisco	$$$	10-15	Suburbs	10-15	69614
Developed	Full Service Restaurant	Sacramento	$$$$	15-20	Downtown	15+	132017
Recent	Full Service Restaurant	Sacramento	$$$	<10	Downtown	Salad & Sandwich only	108471
Developed	Banquet	Los Angeles	$	100+	Downtown	10-15	83908
Recent	Banquet	San Diego	$$$$	No seat	Suburbs	5-7	59109
Recent	Cafeteria	San Diego	$$$	50-70	Downtown	15+	135321
Well-Known	Banquet	San Francisco	$$$	No seat	Suburbs	< 5	76084
Developed	Full Service Restaurant	Sacramento	$$	90-100	Downtown	5-7	89309
Recent	Full Service Restaurant	Sacramento	$$$	30-50	Downtown	15+	154722
Well-Known	Cafeteria	Los Angeles	$$$	90-100	Suburbs	15+	99077
Well-Known	Full Service Restaurant	San Francisco	$$	15-20	Suburbs	7-10	116480
Well-Known	Full Service Restaurant	Los Angeles	$$	100+	Suburbs	Salad bar only	76165
Well-Known	Full Service Restaurant	Los Angeles	$$	100+	Downtown	Salad & Sandwich only	63518
Developed	Banquet	Los Angeles	$	10-15	Downtown	Salad bar only	44418
Well-Known	Cafeteria	San Diego	$	70-90	Suburbs	< 5	52925
Developed	Banquet	Sacramento	$$$	20-30	Downtown	7-10	116279
Recent	Full Service Restaurant	San Diego	$$$$	10-15	Suburbs	10-15	78307
Recent	Full Service Restaurant	San Diego	$	20-30	Suburbs	10-15	101036
Developed	Cafeteria	Sacramento	$$$$$	No seat	Downtown	5-7	70647
Well-Known	Banquet	Sacramento	$$$$	70-90	Downtown	Salad bar only	91260
Well-Known	Cafeteria	San Diego	$$$	100+	Downtown	10-15	84083
Recent	Full Service Restaurant	San Francisco	$$$$	No seat	Downtown	15+	82784
Recent	Full Service Restaurant	Los Angeles	$	10-15	Suburbs	Salad & Sandwich only	82328
Well-Known	Full Service Restaurant	San Diego	$$$$	10-15	Downtown	Salad & Sandwich only	116195
Well-Known	Cafeteria	Sacramento	$$$	15-20	Suburbs	7-10	92259
Recent	Cafeteria	San Diego	$$$	90-100	Downtown	5-7	83997
Recent	Cafeteria	San Francisco	$$$	20-30	Suburbs	Salad & Sandwich only	36705
Recent	Banquet	San Francisco	$$	70-90	Downtown	Salad bar only	57157
Well-Known	Banquet	San Diego	$	10-15	Downtown	Salad & Sandwich only	50002
Well-Known	Banquet	San Diego	$$$	100+	Suburbs	15+	121078
Recent	Banquet	San Francisco	$$$$$	20-30	Downtown	5-7	106047
Recent	Full Service Restaurant	Sacramento	$	50-70	Suburbs	Salad bar only	67686
Recent	Full Service Restaurant	San Francisco	$$	No seat	Suburbs	< 5	74750
